2013-04-22 07:58:07.500,2013-04-24 21:22:30.000
2013-04-24 21:28:07.500,2013-04-29 20:48:45.000
2013-04-29 20:54:22.500,2013-05-03 20:15:00.000
2013-05-03 20:20:37.500,2013-05-08 19:41:15.000
2013-05-08 19:46:52.500,2013-05-13 19:07:30.000
2013-05-13 19:13:07.500,2013-05-16 18:33:45.000
2013-05-16 18:39:22.500,2013-05-21 18:00:00.000
2013-05-21 18:05:37.500,2013-05-24 17:26:15.000
2013-05-24 17:31:52.500,2013-05-29 16:58:07.500
2013-05-29 17:03:45.000,2013-06-03 16:24:22.500
2013-06-03 16:30:00.000,2013-06-06 15:50:37.500
2013-06-06 15:56:15.000,2013-06-11 15:16:52.500
2013-06-11 15:22:30.000,2013-06-14 14:43:07.500
2013-06-14 14:48:45.000,2013-06-19 14:09:22.500
2013-06-19 14:15:00.000,2013-06-24 13:35:37.500
2013-06-24 13:41:15.000,2013-06-27 13:01:52.500
2013-06-27 13:07:30.000,2013-07-02 12:28:07.500
2013-07-02 12:33:45.000,2013-07-05 11:54:22.500
2013-07-05 12:00:00.000,2013-07-10 11:20:37.500
2013-07-10 11:26:15.000,2013-07-15 10:46:52.500
2013-07-15 10:52:30.000,2013-07-18 10:13:07.500
2013-07-18 10:18:45.000,2013-07-23 09:39:22.500
2013-07-23 09:45:00.000,2013-07-26 09:05:37.500
2013-07-26 09:11:15.000,2013-07-31 08:31:52.500
2013-07-31 08:37:30.000,2013-08-05 07:58:07.500
2013-08-05 08:03:45.000,2013-08-07 21:28:07.500
2013-08-07 21:33:45.000,2013-08-12 20:54:22.500
2013-08-12 21:00:00.000,2013-08-15 20:20:37.500
2013-08-15 20:26:15.000,2013-08-20 19:46:52.500
2013-08-20 19:52:30.000,2013-08-23 19:13:07.500
2013-08-23 19:18:45.000,2013-08-28 19:46:52.500
2013-08-28 19:52:30.000,2013-09-02 19:13:07.500
2013-09-02 19:18:45.000,2013-09-05 18:39:22.500
2013-09-05 18:45:00.000,2013-09-10 18:05:37.500
2013-09-10 18:11:15.000,2013-09-13 17:31:52.500
2013-09-13 17:37:30.000,2013-09-18 16:58:07.500
2013-09-18 17:03:45.000,2013-09-23 16:24:22.500
2013-09-23 16:30:00.000,2013-09-26 15:50:37.500
2013-09-26 15:56:15.000,2013-10-01 15:16:52.500
2013-10-01 15:22:30.000,2013-10-04 14:43:07.500
2013-10-04 14:48:45.000,2013-10-09 14:09:22.500
2013-10-09 14:15:00.000,2013-10-14 13:35:37.500
2013-10-14 13:41:15.000,2013-10-17 13:01:52.500
2013-10-17 13:07:30.000,2013-10-22 12:28:07.500
2013-10-22 12:33:45.000,2013-10-25 11:54:22.500
2013-10-25 12:00:00.000,2013-10-30 11:20:37.500
2013-10-30 11:26:15.000,2013-11-04 10:46:52.500
2013-11-04 10:52:30.000,2013-11-07 10:13:07.500
2013-11-07 10:18:45.000,2013-11-12 09:39:22.500
2013-11-12 09:45:00.000,2013-11-15 09:05:37.500
2013-11-15 09:11:15.000,2013-11-20 08:31:52.500
2013-11-20 08:37:30.000,2013-11-25 07:58:07.500
2013-11-25 08:03:45.000,2013-11-27 21:28:07.500
2013-11-27 21:33:45.000,2013-12-02 21:16:52.500
2013-12-02 21:22:30.000,2013-12-05 20:43:07.500
2013-12-05 20:48:45.000,2013-12-10 20:09:22.500
2013-12-10 20:15:00.000,2013-12-13 19:35:37.500
2013-12-13 19:41:15.000,2013-12-18 19:46:52.500
2013-12-18 19:52:30.000,2013-12-23 19:13:07.500
2013-12-23 19:18:45.000,2014-01-02 18:39:22.500
2014-01-02 18:45:00.000,2014-01-07 18:05:37.500
2014-01-07 18:11:15.000,2014-01-10 17:31:52.500
2014-01-10 17:37:30.000,2014-01-15 16:58:07.500
2014-01-15 17:03:45.000,2014-01-20 16:24:22.500
2014-01-20 16:30:00.000,2014-01-23 15:56:15.000
2014-01-23 16:01:52.500,2014-01-28 15:22:30.000
2014-01-28 15:28:07.500,2014-01-31 14:48:45.000
2014-01-31 14:54:22.500,2014-02-05 14:15:00.000
2014-02-05 14:20:37.500,2014-02-10 13:41:15.000
2014-02-10 13:46:52.500,2014-02-13 13:07:30.000
2014-02-13 13:13:07.500,2014-02-18 12:33:45.000
2014-02-18 12:39:22.500,2014-02-21 12:00:00.000
2014-02-21 12:05:37.500,2014-02-26 11:26:15.000
2014-02-26 11:31:52.500,2014-03-03 10:52:30.000
2014-03-03 10:58:07.500,2014-03-06 10:18:45.000
2014-03-06 10:24:22.500,2014-03-11 09:45:00.000
2014-03-11 09:50:37.500,2014-03-14 09:11:15.000
2014-03-14 09:16:52.500,2014-03-19 08:37:30.000
2014-03-19 08:43:07.500,2014-03-24 08:03:45.000
2014-03-24 08:09:22.500,2014-03-26 21:33:45.000
2014-03-26 21:39:22.500,2014-03-31 21:00:00.000
2014-03-31 21:05:37.500,2014-04-03 20:26:15.000
2014-04-03 20:31:52.500,2014-04-08 19:52:30.000
2014-04-08 19:58:07.500,2014-04-11 19:18:45.000
2014-04-11 19:24:22.500,2014-04-16 18:45:00.000
2014-04-16 18:50:37.500,2014-04-23 18:11:15.000
2014-04-23 18:16:52.500,2014-04-28 17:37:30.000
2014-04-28 17:43:07.500,2014-05-02 17:03:45.000
2014-05-02 17:09:22.500,2014-05-07 16:30:00.000
2014-05-07 16:35:37.500,2014-05-12 15:56:15.000
2014-05-12 16:01:52.500,2014-05-15 15:22:30.000
2014-05-15 15:28:07.500,2014-05-20 14:48:45.000
2014-05-20 14:54:22.500,2014-05-23 14:15:00.000
2014-05-23 14:20:37.500,2014-05-28 13:41:15.000
2014-05-28 13:46:52.500,2014-06-02 13:07:30.000
2014-06-02 13:13:07.500,2014-06-05 12:33:45.000
2014-06-05 12:39:22.500,2014-06-10 12:00:00.000
2014-06-10 12:05:37.500,2014-06-13 11:26:15.000
2014-06-13 11:31:52.500,2014-06-18 10:52:30.000
2014-06-18 10:58:07.500,2014-06-23 10:18:45.000
2014-06-23 10:24:22.500,2014-06-26 09:45:00.000
2014-06-26 09:50:37.500,2014-07-01 09:11:15.000
2014-07-01 09:16:52.500,2014-07-04 08:43:07.500
2014-07-04 08:48:45.000,2014-07-09 08:26:15.000
2014-07-09 08:31:52.500,2014-07-11 21:56:15.000
2014-07-14 07:58:07.500,2014-07-16 21:22:30.000
2014-07-16 21:28:07.500,2014-07-21 20:48:45.000
2014-07-21 20:54:22.500,2014-07-24 20:15:00.000
2014-07-24 20:20:37.500,2014-07-29 19:41:15.000
2014-07-29 19:46:52.500,2014-08-01 19:07:30.000
2014-08-01 19:13:07.500,2014-08-06 18:33:45.000
2014-08-06 18:39:22.500,2014-08-11 18:00:00.000
2014-08-11 18:05:37.500,2014-08-14 17:26:15.000
2014-08-14 17:31:52.500,2014-08-19 16:52:30.000
2014-08-19 16:58:07.500,2014-08-22 16:18:45.000
2014-08-22 16:24:22.500,2014-08-27 15:45:00.000
2014-08-27 15:50:37.500,2014-09-01 15:11:15.000
2014-09-01 15:16:52.500,2014-09-04 14:37:30.000
2014-09-04 14:43:07.500,2014-09-09 14:03:45.000
2014-09-09 14:09:22.500,2014-09-12 13:30:00.000
2014-09-12 13:35:37.500,2014-09-17 12:56:15.000
2014-09-17 13:01:52.500,2014-09-22 12:22:30.000
2014-09-22 12:28:07.500,2014-09-25 11:48:45.000
2014-09-25 11:54:22.500,2014-09-30 11:15:00.000
2014-09-30 11:20:37.500,2014-10-03 10:41:15.000
2014-10-03 10:46:52.500,2014-10-08 10:07:30.000
2014-10-08 10:13:07.500,2014-10-13 09:33:45.000
2014-10-13 09:39:22.500,2014-10-16 09:00:00.000
