Date,Open,High,Low,Close,Volume,Adj Close
2016-12-02,4527.839844,4545.25,4490.149902,4528.819824,99005200,4528.819824
2016-12-01,4571.200195,4582.830078,4541.02002,4560.609863,108295300,4560.609863
2016-11-30,4548.97998,4597.540039,4547.580078,4578.339844,000,4578.339844
2016-11-29,4506.910156,4551.459961,4494.370117,4551.459961,000,4551.459961
2016-11-28,4544.089844,4545.140137,4499.200195,4510.390137,80492100,4510.390137
2016-11-25,4548.850098,4555.470215,4524.339844,4550.27002,000,4550.27002
2016-11-24,4537.27002,4552.040039,4520.490234,4542.560059,000,4542.560059
2016-11-23,4557.930176,4559.209961,4509.02002,4529.209961,99133800,4529.209961
2016-11-22,4561.700195,4571.790039,4541.580078,4548.350098,000,4548.350098
2016-11-21,4525.459961,4540.899902,4479.689941,4529.580078,000,4529.580078
2016-11-18,4547.049805,4551.629883,4496.740234,4504.350098,000,4504.350098
2016-11-17,4494.529785,4527.77002,4482.580078,4527.77002,000,4527.77002
2016-11-16,4545.890137,4548.830078,4479.939941,4501.140137,99129200,4501.140137
2016-11-15,4524.97998,4541.459961,4504.350098,4536.529785,108715500,4536.529785
2016-11-14,4528.049805,4560.879883,4492.029785,4508.549805,000,4508.549805
2016-11-11,4545.049805,4553.790039,4473.350098,4489.27002,121053300,4489.27002
2016-11-10,4577.009766,4606.660156,4502.740234,4530.950195,218450900,4530.950195
2016-11-09,4350.069824,4543.47998,4344.879883,4543.47998,000,4543.47998
2016-11-08,4454.580078,4482.589844,4446.390137,4476.890137,112800500,4476.890137
2016-11-07,4440.109863,4464.22998,4430.129883,4461.209961,000,4461.209961
2016-11-04,4403.160156,4403.640137,4355.810059,4377.459961,000,4377.459961
2016-11-03,4402.790039,4456.209961,4399.290039,4411.680176,98348900,4411.680176
2016-11-02,4437.990234,4449.439941,4414.669922,4414.669922,000,4414.669922
2016-11-01,4532.339844,4537.990234,4460.540039,4470.279785,79346900,4470.279785
2016-10-31,4525.600098,4540.259766,4500.189941,4509.259766,88366600,4509.259766
2016-10-28,4515.25,4554.350098,4504.50,4548.580078,96304300,4548.580078
2016-10-27,4526.339844,4556.740234,4502.549805,4533.569824,99701500,4533.569824
2016-10-26,4523.959961,4539.069824,4496.970215,4534.589844,89958800,4534.589844
2016-10-25,4560.459961,4570.629883,4528.029785,4540.839844,91091900,4540.839844
2016-10-24,4551.72998,4579.279785,4551.72998,4552.580078,83826400,4552.580078
2016-10-21,4546.649902,4555.109863,4517.799805,4536.069824,104200100,4536.069824
2016-10-20,4528.660156,4552.240234,4500.649902,4540.120117,96874000,4540.120117
2016-10-19,4513.490234,4528.970215,4495.939941,4520.299805,83323600,4520.299805
2016-10-18,4479.680176,4515.609863,4474.839844,4508.910156,90352900,4508.910156
2016-10-17,4452.720215,4474.330078,4439.910156,4450.22998,69410300,4450.22998
2016-10-14,4424.25,4497.649902,4424.25,4470.919922,92119400,4470.919922
2016-10-13,4421.810059,4421.810059,4370.649902,4405.169922,106795500,4405.169922
2016-10-12,4467.089844,4474.200195,4442.02002,4452.240234,99238700,4452.240234
2016-10-11,4490.830078,4520.180176,4469.299805,4471.740234,98600200,4471.740234
2016-10-10,4458.069824,4500.459961,4428.72998,4497.259766,87470600,4497.259766
2016-10-07,4480.529785,4487.180176,4444.319824,4449.910156,117429400,4449.910156
2016-10-06,4500.359863,4511.879883,4470.120117,4480.100098,99118400,4480.100098
2016-10-05,4462.720215,4499.379883,4441.25,4489.950195,98277700,4489.950195
2016-10-04,4458.669922,4521.359863,4453.669922,4503.089844,95873900,4503.089844
2016-10-03,4447.540039,4465.290039,4432.77002,4453.560059,61707600,4453.560059
2016-09-30,4383.700195,4463.390137,4342.640137,4448.259766,123077700,4448.259766
2016-09-29,4490.549805,4505.299805,4434.089844,4443.839844,80427600,4443.839844
2016-09-28,4413.120117,4460.830078,4413.120117,4432.450195,78464100,4432.450195
2016-09-27,4436.00,4438.589844,4362.930176,4398.680176,91773800,4398.680176
2016-09-26,4455.589844,4455.589844,4402.129883,4407.850098,86235100,4407.850098
2016-09-23,4494.50,4498.350098,4476.859863,4488.689941,84998800,4488.689941
2016-09-22,4444.50,4528.890137,4443.669922,4509.819824,112714500,4509.819824
2016-09-21,4439.700195,4451.319824,4408.299805,4409.549805,82277500,4409.549805
2016-09-20,4383.310059,4419.899902,4375.569824,4388.600098,72813000,4388.600098
2016-09-19,4368.850098,4398.970215,4368.850098,4394.189941,80744000,4394.189941
2016-09-16,4359.870117,4380.129883,4310.879883,4332.450195,208077200,4332.450195
2016-09-15,4357.290039,4381.540039,4341.040039,4373.220215,102309100,4373.220215
2016-09-14,4407.450195,4407.47998,4360.950195,4370.259766,107154600,4370.259766
2016-09-13,4463.259766,4470.259766,4387.180176,4387.180176,91945600,4387.180176
2016-09-12,4415.22998,4439.799805,4386.109863,4439.799805,98367100,4439.799805
2016-09-09,4531.419922,4541.759766,4481.089844,4491.399902,90844400,4491.399902
