Date,Open,High,Low,Close,Volume,Adj Close
2016-12-02,18435.550781,18469.679688,18315.380859,18426.080078,191300,18426.080078
2016-12-01,18535.240234,18746.279297,18469.269531,18513.119141,182400,18513.119141
2016-11-30,18356.029297,18370.310547,18280.660156,18308.480469,000,18308.480469
2016-11-29,18263.630859,18327.509766,18258.820312,18307.039062,121800,18307.039062
2016-11-28,18302.580078,18374.929688,18222.820312,18356.890625,000,18356.890625
2016-11-25,18387.589844,18482.939453,18288.50,18381.220703,160000,18381.220703
2016-11-24,18329.779297,18382.720703,18310.310547,18333.410156,144900,18333.410156
2016-11-22,18091.050781,18175.630859,18050.550781,18162.939453,118200,18162.939453
2016-11-21,18038.089844,18129.029297,18007.789062,18106.019531,000,18106.019531
2016-11-18,18024.210938,18043.720703,17967.410156,17967.410156,161800,17967.410156
2016-11-17,17766.609375,17884.060547,17764.080078,17862.630859,000,17862.630859
2016-11-16,17832.509766,17886.439453,17807.470703,17862.210938,194300,17862.210938
2016-11-15,17668.150391,17668.150391,17668.150391,17668.150391,000,17668.150391
2016-11-14,17467.490234,17697.330078,17455.779297,17672.619141,000,17672.619141
2016-11-11,17526.609375,17621.730469,17333.490234,17374.789062,241800,17374.789062
2016-11-10,16562.859375,17393.820312,1560.660034,17344.419922,222500,17344.419922
2016-11-09,17281.949219,17427.710938,16111.80957,16251.540039,000,16251.540039
2016-11-08,17242.699219,17247.039062,17130.830078,17171.380859,100000,17171.380859
2016-11-07,17126.029297,17186.890625,17056.839844,17177.210938,000,17177.210938
2016-11-04,16964.50,16996.089844,16801.980469,16905.359375,130800,16905.359375
2016-11-02,17238.00,17283.599609,17080.589844,17134.679688,131100,17134.679688
2016-11-01,17380.539062,17473.119141,17339.640625,17442.400391,119300,17442.400391
2016-10-31,17360.890625,17433.130859,17327.619141,17425.019531,152500,17425.019531
2016-10-28,17448.25,17461.029297,17406.720703,17446.410156,162900,17446.410156
2016-10-27,17346.390625,17414.210938,17278.119141,17336.419922,104400,17336.419922
2016-10-26,17329.029297,17391.839844,17295.460938,17391.839844,95200,17391.839844
2016-10-25,17298.630859,17381.800781,17298.630859,17365.25,105100,17365.25
2016-10-24,17216.560547,17244.740234,17162.210938,17234.419922,85100,17234.419922
2016-10-21,17283.75,17288.890625,17151.980469,17184.589844,110800,17184.589844
2016-10-20,16999.359375,17235.50,16992.140625,17235.50,109000,17235.50
2016-10-19,16952.910156,17016.660156,16938.460938,16998.910156,98600,16998.910156
2016-10-18,16862.310547,16966.900391,16844.169922,16963.609375,98600,16963.609375
2016-10-17,16871.839844,16954.439453,16821.490234,16900.119141,92200,16900.119141
2016-10-14,16751.039062,16866.560547,16727.779297,16856.369141,106100,16856.369141
2016-10-13,16923.820312,16974.25,16739.730469,16774.240234,107800,16774.240234
2016-10-12,16850.730469,16951.539062,16839.410156,16840.00,112800,16840.00
2016-10-11,16936.310547,17074.460938,16931.119141,17024.759766,108300,17024.759766
2016-10-07,16883.119141,16895.130859,16820.210938,16860.089844,97300,16860.089844
2016-10-06,16913.599609,16971.279297,16888.769531,16899.099609,000,16899.099609
2016-10-05,16787.890625,16844.349609,16278.19043,18619.240234,000,18619.240234
2016-10-04,16661.509766,16747.199219,16637.820312,16735.650391,97300,16735.650391
2016-10-03,16566.029297,16652.160156,16554.830078,16598.669922,96200,16598.669922
2016-09-30,16474.449219,16497.550781,16407.779297,16449.839844,120700,16449.839844
2016-09-29,16606.300781,16756.429688,16584.140625,16693.710938,119000,16693.710938
2016-09-28,16504.990234,16515.839844,16385.029297,16465.400391,000,16465.400391
2016-09-27,16390.910156,16683.929688,16285.410156,16683.929688,152400,16683.929688
2016-09-26,16707.449219,16707.449219,16514.929688,16544.560547,000,16544.560547
2016-09-23,16759.839844,16808.589844,16725.529297,16754.019531,133900,16754.019531
2016-09-21,16471.849609,16823.630859,16399.650391,16807.619141,185400,16807.619141
2016-09-20,16403.220703,16591.699219,16403.220703,16492.150391,117900,16492.150391
2016-09-16,16458.740234,16532.839844,16415.859375,16519.289062,123300,16519.289062
2016-09-15,16512.419922,16528.019531,16359.780273,16405.009766,114300,16405.009766
2016-09-14,16632.060547,16706.609375,16585.800781,16614.240234,000,16614.240234
2016-09-13,16764.650391,16787.060547,16658.400391,16729.039062,95300,16729.039062
2016-09-12,16748.359375,16802.00,16601.539062,16672.919922,000,16672.919922
2016-09-09,16994.369141,17029.779297,16902.089844,16965.759766,120200,16965.759766
2016-09-08,16984.00,17001.839844,16836.650391,16958.769531,108000,16958.769531
2016-09-07,16937.380859,17024.199219,16903.199219,17012.439453,000,17012.439453
2016-09-06,17035.029297,17097.589844,17022.640625,17081.980469,105100,17081.980469
2016-09-05,17131.519531,17156.359375,17009.210938,17037.630859,123600,17037.630859
2016-09-02,16903.779297,16946.490234,16848.119141,16925.679688,112700,16925.679688
2016-09-01,16885.160156,16941.179688,16864.560547,16926.839844,127600,16926.839844
2016-08-31,16857.830078,16917.859375,16836.960938,16887.400391,145800,16887.400391
2016-08-30,16690.980469,16752.160156,16677.849609,16725.359375,100600,16725.359375
2016-08-29,16631.060547,16764.640625,16616.650391,16737.490234,000,16737.490234
2016-08-26,16485.550781,16490.529297,16320.429688,16360.709961,101500,16360.709961
2016-08-25,16580.150391,16628.789062,16520.839844,16555.949219,90100,16555.949219
2016-08-24,16550.210938,16648.070312,16544.390625,16597.300781,000,16597.300781
2016-08-23,16549.820312,16663.640625,16452.009766,16497.359375,104400,16497.359375
2016-08-22,16599.259766,16631.230469,16540.939453,16598.189453,000,16598.189453
2016-08-19,16558.380859,16613.039062,16452.619141,16545.820312,118200,16545.820312
2016-08-18,16649.910156,16714.609375,16481.410156,16486.009766,126500,16486.009766
2016-08-17,16596.259766,16772.109375,16596.259766,16745.640625,113900,16745.640625
2016-08-16,16878.660156,16887.570312,16596.509766,16596.509766,106700,16596.509766
2016-08-15,16866.890625,16932.109375,16844.580078,16869.560547,000,16869.560547
2016-08-12,16877.179688,16943.669922,16818.429688,16919.919922,115500,16919.919922
2016-08-10,16699.080078,16822.859375,16657.589844,16735.119141,110400,16735.119141
2016-08-09,16632.410156,16779.589844,16630.560547,16764.970703,123700,16764.970703
2016-08-08,16462.289062,16652.039062,16455.570312,16650.570312,000,16650.570312
2016-08-05,16278.990234,16355.980469,16230.700195,16254.450195,125500,16254.450195
2016-08-04,16168.339844,16270.120117,15921.040039,16254.889648,000,16254.889648
2016-08-03,16227.280273,16275.339844,16056.669922,16083.110352,000,16083.110352
2016-08-02,16469.679688,16541.880859,16391.449219,16391.449219,127900,16391.449219
2016-08-01,16415.310547,16677.490234,16319.150391,16635.769531,168900,16635.769531
2016-07-29,16359.679688,16679.189453,16174.349609,16569.269531,227600,16569.269531
2016-07-28,16596.150391,16616.279297,16450.279297,16476.839844,122600,16476.839844
2016-07-27,16526.060547,16821.429688,16526.060547,16664.820312,000,16664.820312
2016-07-26,16535.810547,16535.810547,16323.099609,16383.040039,125500,16383.040039
2016-07-25,16655.810547,16778.650391,16612.330078,16620.289062,16627200,16620.289062
2016-07-22,16612.900391,16691.810547,16566.980469,16627.25,97800,16627.25
2016-07-21,16855.179688,16938.960938,16740.00,16810.220703,000,16810.220703
2016-07-20,16646.919922,16692.839844,16554.029297,16681.890625,116900,16681.890625
2016-07-19,16612.089844,16726.710938,16514.660156,16723.310547,127700,16723.310547
2016-07-15,16396.119141,16607.320312,16396.119141,16497.849609,166700,16497.849609
2016-07-14,16242.200195,16398.730469,16229.259766,16385.890625,132000,16385.890625
2016-07-13,16343.00,16444.25,16196.44043,16231.429688,189700,16231.429688
2016-07-12,15961.299805,16237.620117,15956.910156,16095.650391,179500,16095.650391
2016-07-11,15375.94043,15816.669922,15375.94043,15708.820312,134700,15708.820312
2016-07-08,15326.839844,15399.700195,15106.519531,15106.980469,125600,15106.980469
2016-07-07,15346.80957,15418.900391,15241.910156,15276.240234,123500,15276.240234
2016-07-06,15434.459961,15434.459961,15167.980469,15378.990234,000,15378.990234
2016-07-05,15682.160156,15702.040039,15602.730469,15669.330078,105900,15669.330078
2016-07-04,15554.040039,15805.30957,15553.919922,15775.799805,105200,15775.799805
2016-07-01,15698.019531,15765.00,15635.570312,15682.480469,116300,15682.480469
2016-06-30,15752.709961,15781.69043,15575.919922,15575.919922,146200,15575.919922
2016-06-29,15523.349609,15626.660156,15398.30957,15566.830078,143000,15566.830078
2016-06-28,15094.709961,15443.820312,14987.790039,15323.139648,175500,15323.139648
2016-06-27,15153.080078,15323.950195,15061.660156,15309.209961,157000,15309.209961
2016-06-24,16333.870117,16389.169922,14864.009766,14952.019531,255100,14952.019531
2016-06-23,16098.610352,16263.870117,16057.860352,16238.349609,107500,16238.349609
2016-06-22,16095.80957,16160.990234,15980.650391,16065.719727,108300,16065.719727
2016-06-21,15875.80957,16202.299805,15770.959961,16169.110352,117300,16169.110352
2016-06-20,15839.05957,16035.44043,15835.860352,15965.299805,128000,15965.299805
2016-06-17,15631.790039,15774.870117,15582.94043,15599.660156,162200,15599.660156
